% Model:              ME526FinalProject.mph
% Version:            COMSOL 5.0.0.244
% Date:               Apr 26 2015, 13:59
% Dimension:          1
% Nodes:              20
% Expressions:        1
% Description:        Point graph
% X                       Height
38848.453814547305        38848.453814547305
38999.72290600774         38999.72290600774
241270.1806914309         241270.1806914309
241823.973377685          241823.973377685
328612.231370629          328612.231370629
329348.00971014105        329348.00971014105
571469.4252263173         571469.4252263173
573616.569530891          573616.569530891
670150.7835107057         670150.7835107057
670914.0126664069         670914.0126664069
1013992.4985535858        1013992.4985535858
1016360.3810852617        1016360.3810852617
1299389.2921432478        1299389.2921432478
1299848.191070717         1299848.191070717
1778715.2382332275        1778715.2382332275
1783006.4202768684        1783006.4202768684
2116751.7710533496        2116751.7710533496
2116985.41392827          2116985.41392827
2661977.521054377         2661977.521054377
2668255.1436816943        2668255.1436816943
