% Model:              ME526FinalProject.mph
% Version:            COMSOL 5.0.0.244
% Date:               Apr 26 2015, 13:29
% Dimension:          1
% Nodes:              20
% Expressions:        1
% Description:        Point graph
% X                       Height
1                         38999.79845066924
2                         38999.83012811749
3                         241824.70843736574
4                         241824.6140424793
5                         329348.0230579012
6                         329349.9806412975
7                         573617.2647187734
8                         573617.364107787
9                         670916.5274645776
10                        670916.5691676971
11                        1016360.8380010372
12                        1016366.6903516595
13                        1299854.0063007264
14                        1299854.7959016846
15                        1783003.577650175
16                        1783018.470412249
17                        2116992.579153146
18                        2116998.7504652403
19                        2668242.8411615486
20                        2668275.402077226
